Reaction ID	Reaction name	Lower bound	Reaction equation	GPR	Pathway
ACTS3	polyketide chain elongation 2	0.0	1.0 malcoa_c + 1.0 actACPact_c + 1.0 h_c -> 1.0 co2_c + 1.0 coa_c + 1.0 pk6ACPact_c	((SCO2390 and SCO5886 and SCO5088 and SCO5087 and SCO3248 and SCO5317 and SCO5318 and SCO1266 and SCO0548 and SCO5088 and SCO5087 and SCO5317 and SCO5318 and SCO1266))	Actinorhodin Biosynthesis
ACTS4	polyketide chain elongation 3	0.0	1.0 malcoa_c + 1.0 h_c + 1.0 pk6ACPact_c -> 1.0 coa_c + 1.0 co2_c + 1.0 pk8ACPact_c	((SCO2390 and SCO5886 and SCO5088 and SCO5087 and SCO3248 and SCO5317 and SCO5318 and SCO1266 and SCO0548 and SCO5088 and SCO5087 and SCO5317 and SCO5318 and SCO1266))	Actinorhodin Biosynthesis
ACTS5	polyketide chain elongation 4	0.0	1.0 malcoa_c + 1.0 pk8ACPact_c + 1.0 h_c -> 1.0 co2_c + 1.0 coa_c + 1.0 pk10ACPact_c	((SCO2390 and SCO5886 and SCO5088 and SCO5087 and SCO3248 and SCO5317 and SCO5318 and SCO1266 and SCO0548 and SCO5088 and SCO5087 and SCO5317 and SCO5318 and SCO1266))	Actinorhodin Biosynthesis
ACTS6	polyketide chain elongation 5	0.0	1.0 malcoa_c + 1.0 h_c + 1.0 pk10ACPact_c -> 1.0 pk12ACPact_c + 1.0 co2_c + 1.0 coa_c	((SCO2390 and SCO5886 and SCO5088 and SCO5087 and SCO3248 and SCO5317 and SCO5318 and SCO1266 and SCO0548 and SCO5088 and SCO5087 and SCO5317 and SCO5318 and SCO1266))	Actinorhodin Biosynthesis
ACTS7	polyketide chain elongation 6	0.0	1.0 pk12ACPact_c + 1.0 malcoa_c + 1.0 h_c -> 1.0 pk14ACPact_c + 1.0 co2_c + 1.0 coa_c	((SCO2390 and SCO5886 and SCO5088 and SCO5087 and SCO3248 and SCO5317 and SCO5318 and SCO1266 and SCO0548 and SCO5088 and SCO5087 and SCO5317 and SCO5318 and SCO1266))	Actinorhodin Biosynthesis
ACTS8	polyketide chain elongation 7	0.0	1.0 pk14ACPact_c + 1.0 malcoa_c + 1.0 h_c -> 1.0 pk16ACPact_c + 1.0 co2_c + 1.0 coa_c	((SCO2390 and SCO5886 and SCO5088 and SCO5087 and SCO3248 and SCO5317 and SCO5318 and SCO1266 and SCO0548 and SCO5088 and SCO5087 and SCO5317 and SCO5318 and SCO1266))	Actinorhodin Biosynthesis
ACTS9	actI cyclase	0.0	1.0 pk16ACPact_c -> 1.0 actint1ACPact_c	((SCO2390 and SCO5886 and SCO5088 and SCO5087 and SCO3248 and SCO5317 and SCO5318 and SCO1266 and SCO0548 and SCO5088 and SCO5087 and SCO5317 and SCO5318 and SCO1266))	Actinorhodin Biosynthesis
ALAD_L	L-alanine dehydrogenase	0.0	1.0 ala_DASH_L_c + 1.0 h2o_c + 1.0 nad_c -> 1.0 pyr_c + 1.0 nadh_c + 1.0 nh4_c + 1.0 h_c	(SCO1773)	Alanine and Aspartate Metabolism
ALAR	alanine racemase	-1000.0	1.0 ala_DASH_L_c <=> 1.0 ala_DASH_D_c	(SCO4745)	Alanine and Aspartate Metabolism
ALATA_L	L-alanine transaminase	-1000.0	1.0 akg_c + 1.0 ala_DASH_L_c <=> 1.0 pyr_c + 1.0 glu_DASH_L_c	(SCO6222 or SCO4645 or SCO4984)	Alanine and Aspartate Metabolism
APAT2r	3-Aminopropanoate:2-oxoglutarate aminotransferase	-1000.0	1.0 akg_c + 1.0 ala_DASH_B_c <=> 1.0 glu_DASH_L_c + 1.0 msa_c	(SCO7034 or SCO7537 or SCO5676 or SCO5655 or SCO1577 or SCO1284 or SCO6769 or SCO6412 or SCO1223 or SCO3622 or SCO7034 or SCO7537 or SCO5676 or SCO5655 or SCO1284 or SCO6769 or SCO6412 or SCO1223 or SCO3622)	Alanine and Aspartate Metabolism
ASNS1	asparagine synthase (glutamine-hydrolysing)	0.0	1.0 h2o_c + 1.0 asp_DASH_L_c + 1.0 atp_c + 1.0 gln_DASH_L_c -> 1.0 ppi_c + 1.0 asn_DASH_L_c + 1.0 amp_c + 1.0 glu_DASH_L_c + 1.0 h_c	(SCO0386)	Alanine and Aspartate Metabolism
ASPO1	L-aspartate oxidase	0.0	1.0 o2_c + 1.0 h2o_c + 1.0 asp_DASH_L_c -> 1.0 h2o2_c + 1.0 nh4_c + 1.0 oaa_c	(SCO5107 or SCO3382 or SCO4856 or SCO7109)	Alanine and Aspartate Metabolism
ASPTA	aspartate transaminase	-1000.0	1.0 akg_c + 1.0 asp_DASH_L_c <=> 1.0 glu_DASH_L_c + 1.0 oaa_c	(SCO6222 or SCO4645 or SCO3658 or SCO4984 or SCO5941)	Alanine and Aspartate Metabolism
3OXCOAT	3-oxoadipyl-CoA thiolase	0.0	1.0 coa_c + 1.0 oxadpcoa_c -> 1.0 succoa_c + 1.0 accoa_c	(SCO6701 or SCO5399 or SCO3079 or SCO6731 or SCO4502 or SCO6967 or SCO6027 or SCO6788 or SCO1324 or SCO6701 or SCO5399 or SCO3079 or SCO6731 or SCO4502 or SCO6967 or SCO6027 or SCO6788 or SCO1324)	Alternate Carbon Metabolism
5DGLCNR	5-dehydro-D-gluconate reductase	-1000.0	1.0 5dglcn_c + 1.0 nadph_c + 1.0 h_c <=> 1.0 glcn_c + 1.0 nadp_c	(SCO0737 or SCO5086 or SCO7363 or SCO1346 or SCO3476 or SCO0356 or SCO1815 or SCO7266 or SCO1681)	Alternate Carbon Metabolism
6PHBG	6-phospho-beta-glucosidase	0.0	1.0 h2o_c + 1.0 salc6p_c -> 1.0 g6p_c + 1.0 2hymeph_c	(SCO6670 or SCO2661)	Alternate Carbon Metabolism
AAMYLe	alpha-amylase	0.0	1.0 14glucan_e -> 1.0 malthx_e	(SCO2226)	Alternate Carbon Metabolism
ACM6PH	N-acetylmuramate 6-phosphate hydrolase	0.0	1.0 acmum6p_c + 1.0 h2o_c -> 1.0 lac_DASH_D_c + 1.0 acgam6p_c	(SCO4307)	Alternate Carbon Metabolism
ACS2	acetyl-CoA synthase (propionate)	0.0	1.0 ppa_c + 1.0 coa_c + 1.0 atp_c -> 1.0 ppi_c + 1.0 amp_c + 1.0 ppcoa_c	(SCO3563 or SCO1393 or SCO4383 or SCO5983)	Alternate Carbon Metabolism
ADNUC	adenosine hydrolase	0.0	1.0 h2o_c + 1.0 adn_c -> 1.0 rib_DASH_D_c + 1.0 ade_c	(SCO3779)	Alternate Carbon Metabolism
AGDC	N-acetylglucosamine-6-phosphate deacetylase	0.0	1.0 h2o_c + 1.0 acgam6p_c -> 1.0 gam6p_c + 1.0 ac_c	(SCO4284)	Alternate Carbon Metabolism
ALCD19	alcohol dehydrogenase (glycerol)	-1000.0	1.0 nadh_c + 1.0 h_c + 1.0 glyald_c <=> 1.0 glyc_c + 1.0 nad_c	(SCO4271 or SCO0199 or SCO0741 or SCO1901 or SCO7362 or SCO0259 or SCO4945 or SCO5262)	Alternate Carbon Metabolism
ALCD19y	alcohol dehydrogenase (glycerol, NADP)	-1000.0	1.0 nadph_c + 1.0 glyald_c + 1.0 h_c <=> 1.0 nadp_c + 1.0 glyc_c	(SCO4271 or SCO0199 or SCO4945)	Alternate Carbon Metabolism
ALDD1	aldehyde dehydrogenase (formaldehyde, NAD)	0.0	1.0 h2o_c + 1.0 nad_c + 1.0 fald_c -> 1.0 nadh_c + 2.0 h_c + 1.0 for_c	(SCO0179 or SCO4055 or SCO6706)	Alternate Carbon Metabolism
ALDD19x	aldehyde dehydrogenase (phenylacetaldehyde, NAD)	0.0	1.0 h2o_c + 1.0 nad_c + 1.0 pacald_c -> 1.0 pac_c + 1.0 nadh_c + 2.0 h_c	(SCO1706 or SCO1174 or SCO7035 or SCO1612 or SCO5657 or SCO5666 or SCO2726 or SCO5679 or SCO7139 or SCO6793 or SCO3420 or SCO7436 or SCO4828 or SCO1204 or SCO4780 or SCO6441 or SCO3486 or SCO4913)	Alternate Carbon Metabolism
ALDD2x	aldehyde dehydrogenase (acetaldehyde, NAD)	0.0	1.0 acald_c + 1.0 h2o_c + 1.0 nad_c -> 1.0 ac_c + 1.0 nadh_c + 2.0 h_c	(SCO1706 or SCO1174 or SCO7035 or SCO1612 or SCO5657 or SCO5666 or SCO2726 or SCO5679 or SCO7139 or SCO3420 or SCO7436 or SCO4828 or SCO1204 or SCO4780 or SCO6441 or SCO3486 or SCO4913 or SCO1706 or SCO1174 or SCO5520 or SCO7035 or SCO1612 or SCO5657 or SCO5666 or SCO2726 or SCO5679 or SCO7139 or SCO6793 or SCO3420 or SCO7436 or SCO4828 or SCO1204 or SCO4780 or SCO6441 or SCO3486 or SCO4913 or SCO1706 or SCO1174 or SCO7035 or SCO1612 or SCO5657 or SCO5666 or SCO2726 or SCO5679 or SCO7139 or SCO3420 or SCO7436 or SCO4828 or SCO1204 or SCO4780 or SCO6441 or SCO3486 or SCO4913)	Alternate Carbon Metabolism
ALLTAMH	allantoate amidohydrolase	0.0	1.0 alltt_c + 2.0 h2o_c + 2.0 h_c -> 1.0 urdglyc_c + 1.0 co2_c + 2.0 nh4_c	(SCO3072)	Alternate Carbon Metabolism
AMALT1	Amylomaltase (maltotriose)	0.0	1.0 malt_c + 1.0 malttr_c -> 1.0 glc_DASH_D_c + 1.0 maltttr_c	(SCO2649)	Alternate Carbon Metabolism
AMALT2	Amylomaltase (maltotetraose)	0.0	1.0 malt_c + 1.0 maltttr_c -> 1.0 maltpt_c + 1.0 glc_DASH_D_c	(SCO2649)	Alternate Carbon Metabolism
AMALT3	Amylomaltase (maltopentaose)	0.0	1.0 maltpt_c + 1.0 malt_c -> 1.0 malthx_c + 1.0 glc_DASH_D_c	(SCO2649)	Alternate Carbon Metabolism
AMALT4	Amylomaltase (maltohexaose)	0.0	1.0 malt_c + 1.0 malthx_c -> 1.0 glc_DASH_D_c + 1.0 malthp_c	(SCO2649)	Alternate Carbon Metabolism
BGLU	b-glucosidase (cellobiose)	0.0	1.0 h2o_c + 1.0 celb_c -> 2.0 glc_DASH_D_c	(SCO7031 or SCO0458 or SCO0293 or SCO6604 or SCO7558 or SCO2531 or SCO1059 or SCO2798 or SCO6604 or SCO7558 or SCO2531 or SCO1059 or SCO2798 or SCO6597 or SCO7031 or SCO0458 or SCO0293)	Alternate Carbon Metabolism
CYTDH	Cytidine hydrolase	0.0	1.0 cytd_c + 1.0 h2o_c -> 1.0 rib_DASH_D_c + 1.0 csn_c	(SCO3779)	Alternate Carbon Metabolism
DCH	diacetylchitobiose hydrolase	0.0	1.0 h2o_c + 1.0 chtbs_c -> 2.0 acgam_c	(SCO6032 or SCO6300 or SCO2758 or SCO5235 or SCO2943 or SCO2786 or SCO0534)	Alternate Carbon Metabolism
DDGLK	2-dehydro-3-deoxygluconokinase	0.0	1.0 2ddglcn_c + 1.0 atp_c -> 1.0 h_c + 1.0 adp_c + 1.0 2ddg6p_c	(SCO3494 or SCO3474 or SCO4988 or SCO0851 or SCO3494 or SCO3474 or SCO4988 or SCO0851)	Alternate Carbon Metabolism
DHACOAH	2,3-dehydroadipyl-CoA hydratase	-1000.0	1.0 h2o_c + 1.0 23dhacoa_c <=> 1.0 3hadpcoa_c	(SCO3834 or SCO1591 or SCO5385 or SCO6732 or SCO6026 or SCO6789 or SCO6475)	Alternate Carbon Metabolism
DHAK	dihydroxyacetone kinase	0.0	1.0 dha_c + 1.0 atp_c -> 1.0 dhap_c + 1.0 h_c + 1.0 adp_c	(SCO7073 or SCO0580)	Alternate Carbon Metabolism
DHDGLCD	5-dehydro-4-deoxyglucarate dehydratase	0.0	1.0 5dh4dglc_c + 1.0 h_c -> 1.0 h2o_c + 1.0 co2_c + 1.0 25dptn_c	(SCO2543 or SCO1895)	Alternate Carbon Metabolism
DRBK	Deoxyribokinase	0.0	1.0 atp_c + 1.0 drib_c -> 1.0 2dr5p_c + 1.0 h_c + 1.0 adp_c	(SCO2748)	Alternate Carbon Metabolism
DRPA	deoxyribose-phosphate aldolase	0.0	1.0 2dr5p_c -> 1.0 acald_c + 1.0 g3p_c	(SCO4914)	Alternate Carbon Metabolism
DTARTD	D(-)-tartrate dehydratase	0.0	1.0 tartr_DASH_D_c -> 1.0 h2o_c + 1.0 oaa_c	(SCO5044)	Alternate Carbon Metabolism
EPMGH	epimelibiose galactohydrolase	0.0	1.0 h2o_c + 1.0 epm_c -> 1.0 gal_c + 1.0 man_c	(SCO0274)	Alternate Carbon Metabolism
FDH	formate dehydrogenase	0.0	1.0 for_c + 1.0 nad_c -> 1.0 co2_c + 1.0 nadh_c	(SCO2004 or SCO7525 or SCO6820 or SCO2473 or SCO7374 or SCO6561)	Alternate Carbon Metabolism
FORCT	Formyl-CoA Transferase	-1000.0	1.0 oxa_c + 1.0 forcoa_c <=> 1.0 oxalcoa_c + 1.0 for_c	(SCO0362 or SCO2032 or SCO6583 or SCO3130)	Alternate Carbon Metabolism
FRUK	fructose-1-phosphate kinase	0.0	1.0 f1p_c + 1.0 atp_c -> 1.0 h_c + 1.0 adp_c + 1.0 fdp_c	(SCO4283 or SCO3197)	Alternate Carbon Metabolism
G3PD2	glycerol-3-phosphate dehydrogenase (NADP)	-1000.0	1.0 glyc3p_c + 1.0 nadp_c <=> 1.0 dhap_c + 1.0 nadph_c + 1.0 h_c	(SCO5559)	Alternate Carbon Metabolism
G6PDA	glucosamine-6-phosphate deaminase	0.0	1.0 gam6p_c + 1.0 h2o_c -> 1.0 nh4_c + 1.0 f6p_c	(SCO5236)	Alternate Carbon Metabolism
GAL6PI	galactose-6-phosphate isomerase	-1000.0	1.0 dgal6p_c <=> 1.0 tag6p_DASH_D_c	(SCO5849)	Alternate Carbon Metabolism
GALCTND	galactonate dehydratase	0.0	1.0 galctn_DASH_D_c -> 1.0 h2o_c + 1.0 2dh3dgal_c	(SCO3475 or SCO2401)	Alternate Carbon Metabolism
GALIGH	1-alpha-D-Galactosyl-myo-inositol galactohydrolase	0.0	1.0 1Dgali_c + 1.0 h2o_c -> 1.0 gal_c + 1.0 inost_c	(SCO0274)	Alternate Carbon Metabolism
GALKr	galactokinase	-1000.0	1.0 gal_c + 1.0 atp_c <=> 1.0 h_c + 1.0 gal1p_c + 1.0 adp_c	(SCO3136)	Alternate Carbon Metabolism
GALS3	a-galactosidase (melibiose)	0.0	1.0 melib_c + 1.0 h2o_c -> 1.0 gal_c + 1.0 glc_DASH_D_c	(SCO0274)	Alternate Carbon Metabolism
GGLGH	galactosylglycerol galactohydrolase	0.0	1.0 h2o_c + 1.0 ggl_c -> 1.0 gal_c + 1.0 glyc_c	(SCO0274)	Alternate Carbon Metabolism
GLCATr	D-glucose O-acetyltransferase	-1000.0	1.0 glc_DASH_D_c + 1.0 accoa_c <=> 1.0 coa_c + 1.0 acglc_DASH_D_c	(SCO7405 or SCO7519)	Alternate Carbon Metabolism
GLCRD	glucarate dehydratase	0.0	1.0 glcr_c -> 1.0 h2o_c + 1.0 5dh4dglc_c	(SCO2542 or SCO7570)	Alternate Carbon Metabolism
GLYALDDr	D-Glyceraldehyde dehydrogenase	-1000.0	1.0 h2o_c + 1.0 glyald_c + 1.0 nad_c <=> 1.0 nadh_c + 1.0 glyc_DASH_R_c + 2.0 h_c	(SCO1706 or SCO1174 or SCO7035 or SCO1612 or SCO5657 or SCO5666 or SCO2726 or SCO5679 or SCO7139 or SCO3420 or SCO7436 or SCO4828 or SCO1204 or SCO4780 or SCO6441 or SCO3486 or SCO4913 or SCO1706 or SCO1174 or SCO5520 or SCO7035 or SCO1612 or SCO5657 or SCO5666 or SCO2726 or SCO5679 or SCO7139 or SCO6793 or SCO3420 or SCO7436 or SCO4828 or SCO1204 or SCO4780 or SCO6441 or SCO3486 or SCO4913 or SCO1706 or SCO1174 or SCO7035 or SCO1612 or SCO5657 or SCO5666 or SCO2726 or SCO5679 or SCO7139 or SCO3420 or SCO7436 or SCO4828 or SCO1204 or SCO4780 or SCO6441 or SCO3486 or SCO4913)	Alternate Carbon Metabolism
GLYCDx	Glycerol dehydrogenase	0.0	1.0 glyc_c + 1.0 nad_c -> 1.0 nadh_c + 1.0 h_c + 1.0 dha_c	(SCO2598 or SCO6754)	Alternate Carbon Metabolism
GLYCTO1	Glycolate oxidase	0.0	1.0 o2_c + 1.0 glyclt_c -> 1.0 h2o2_c + 1.0 glx_c	(SCO2925 or SCO4367)	Alternate Carbon Metabolism
GLYCTO3	Glycolate oxidase	0.0	1.0 glyclt_c + 1.0 mqn9_c -> 1.0 glx_c + 1.0 mql9_c	(SCO2925 or SCO4367)	Alternate Carbon Metabolism
GLYK	glycerol kinase	0.0	1.0 glyc_c + 1.0 atp_c -> 1.0 glyc3p_c + 1.0 h_c + 1.0 adp_c	(SCO0509 or SCO1660 or SCO7004 or SCO0509 or SCO1660 or SCO7004)	Alternate Carbon Metabolism
GNK	gluconokinase	0.0	1.0 glcn_c + 1.0 atp_c -> 1.0 6pgc_c + 1.0 h_c + 1.0 adp_c	(SCO1679)	Alternate Carbon Metabolism
HADPCOADH3	3-hydroxyadipyl-CoA dehydrogenase (NAD+)	-1000.0	1.0 3hadpcoa_c + 1.0 nad_c <=> 1.0 nadh_c + 1.0 oxadpcoa_c + 1.0 h_c	(SCO3834 or SCO1591 or SCO5385 or SCO0984 or SCO6732 or SCO6789 or SCO6475 or SCO3834 or SCO1591 or SCO5385 or SCO0984 or SCO6732 or SCO6789 or SCO6475)	Alternate Carbon Metabolism
HEX7	hexokinase (D-fructose:ATP)	0.0	1.0 fru_c + 1.0 atp_c -> 1.0 h_c + 1.0 adp_c + 1.0 f6p_c	(SCO1957)	Alternate Carbon Metabolism
HPYRI	hydroxypyruvate isomerase	-1000.0	1.0 hpyr_c <=> 1.0 2h3oppan_c	(SCO6206)	Alternate Carbon Metabolism
IDOND	L-idonate 5-dehydrogenase	-1000.0	1.0 nadh_c + 1.0 5dglcn_c + 1.0 h_c <=> 1.0 idon_DASH_L_c + 1.0 nad_c	(SCO1682)	Alternate Carbon Metabolism
IDOND2	L-idonate 5-dehydrogenase (NADP)	0.0	1.0 5dglcn_c + 1.0 nadph_c + 1.0 h_c -> 1.0 nadp_c + 1.0 idon_DASH_L_c	(SCO1682)	Alternate Carbon Metabolism
LACZ	b-galactosidase	0.0	1.0 lcts_c + 1.0 h2o_c -> 1.0 gal_c + 1.0 glc_DASH_D_c	(SCO0766 or SCO5689 or SCO7407 or SCO3479 or SCO6457)	Alternate Carbon Metabolism
LCADi	lactaldehyde dehydrogenase	0.0	1.0 h2o_c + 1.0 nad_c + 1.0 lald_DASH_L_c -> 1.0 lac_DASH_L_c + 1.0 nadh_c + 2.0 h_c	(SCO1706 or SCO1174 or SCO7035 or SCO1612 or SCO5657 or SCO5666 or SCO2726 or SCO5679 or SCO7139 or SCO3420 or SCO7436 or SCO4828 or SCO1204 or SCO4780 or SCO6441 or SCO3486 or SCO4913)	Alternate Carbon Metabolism
LYXI	Lyxose isomerase	0.0	1.0 lyx_DASH_L_c -> 1.0 xylu_DASH_L_c	(SCO0812)	Alternate Carbon Metabolism
MALT	alpha-glucosidase	0.0	1.0 malt_c + 1.0 h2o_c -> 2.0 glc_DASH_D_c	(SCO1394 or SCO1055 or SCO2228 or SCO5442 or SCO3780 or SCO7334 or SCO7010)	Alternate Carbon Metabolism
MALTATr	maltose O-acetyltransferase	-1000.0	1.0 malt_c + 1.0 accoa_c <=> 1.0 acmalt_c + 1.0 coa_c	(SCO7405 or SCO7519)	Alternate Carbon Metabolism
MAN6PI	mannose-6-phosphate isomerase	-1000.0	1.0 man6p_c <=> 1.0 f6p_c	(SCO3025)	Alternate Carbon Metabolism
MELTGH	melibiitol galactohydrolase	0.0	1.0 h2o_c + 1.0 melt_c -> 1.0 gal_c + 1.0 sbt_DASH_D_c	(SCO0274)	Alternate Carbon Metabolism
MLTG1	Maltodextrin glucosidase (maltotriose)	0.0	1.0 h2o_c + 1.0 malttr_c -> 1.0 malt_c + 1.0 glc_DASH_D_c	(SCO1394 or SCO1055 or SCO2228 or SCO5442 or SCO3780 or SCO7334 or SCO7010)	Alternate Carbon Metabolism
MLTG1e	Maltodextrin glucosidase (maltotriose)	0.0	1.0 malttr_e + 1.0 h2o_e -> 1.0 glc_DASH_D_e + 1.0 malt_e	(SCO7019)	Alternate Carbon Metabolism
MLTG2	Maltodextrin glucosidase (maltotetraose)	0.0	1.0 h2o_c + 1.0 maltttr_c -> 1.0 glc_DASH_D_c + 1.0 malttr_c	(SCO1394 or SCO1055 or SCO2228 or SCO5442 or SCO3780 or SCO7334 or SCO7010)	Alternate Carbon Metabolism
MLTG2e	Maltodextrin glucosidase (maltotetraose)	0.0	1.0 maltttr_e + 1.0 h2o_e -> 1.0 malttr_e + 1.0 glc_DASH_D_e	(SCO7019)	Alternate Carbon Metabolism
MLTG3	Maltodextrin glucosidase (maltopentaose)	0.0	1.0 maltpt_c + 1.0 h2o_c -> 1.0 glc_DASH_D_c + 1.0 maltttr_c	(SCO1394 or SCO1055 or SCO2228 or SCO5442 or SCO3780 or SCO7334 or SCO7010)	Alternate Carbon Metabolism
MLTG3e	Maltodextrin glucosidase (maltopentaose)	0.0	1.0 h2o_e + 1.0 maltpt_e -> 1.0 maltttr_e + 1.0 glc_DASH_D_e	(SCO7019)	Alternate Carbon Metabolism
MLTG4	Maltodextrin glucosidase (maltohexaose)	0.0	1.0 h2o_c + 1.0 malthx_c -> 1.0 maltpt_c + 1.0 glc_DASH_D_c	(SCO1394 or SCO1055 or SCO2228 or SCO5442 or SCO3780 or SCO7334 or SCO7010)	Alternate Carbon Metabolism
MLTG4e	Maltodextrin glucosidase (maltohexaose)	0.0	1.0 malthx_e + 1.0 h2o_e -> 1.0 glc_DASH_D_e + 1.0 maltpt_e	(SCO7019)	Alternate Carbon Metabolism
MLTG5	Maltodextrin glucosidase (maltoheptaose)	0.0	1.0 h2o_c + 1.0 malthp_c -> 1.0 malthx_c + 1.0 glc_DASH_D_c	(SCO1394 or SCO1055 or SCO2228 or SCO5442 or SCO3780 or SCO7334 or SCO7010)	Alternate Carbon Metabolism
MLTG5e	Maltodextrin glucosidase (maltoheptaose)	0.0	1.0 malthp_e + 1.0 h2o_e -> 1.0 malthx_e + 1.0 glc_DASH_D_e	(SCO7019)	Alternate Carbon Metabolism
MLTP1	Maltodextrin phosphorylase (maltopentaose)	-1000.0	1.0 maltpt_c + 1.0 pi_c <=> 1.0 g1p_c + 1.0 maltttr_c	(SCO5444)	Alternate Carbon Metabolism
MLTP2	Maltodextrin phosphorylase (maltohexaose)	-1000.0	1.0 pi_c + 1.0 malthx_c <=> 1.0 maltpt_c + 1.0 g1p_c	(SCO5444)	Alternate Carbon Metabolism
MLTP3	Maltodextrin phosphorylase (maltoheptaose)	-1000.0	1.0 pi_c + 1.0 malthp_c <=> 1.0 malthx_c + 1.0 g1p_c	(SCO5444)	Alternate Carbon Metabolism
MTI	maltose trehalose isomerase	-1000.0	1.0 tre_c <=> 1.0 malt_c	(SCO2228 or SCO5442 or SCO3780 or SCO7334 or SCO7010)	Alternate Carbon Metabolism
OXCDC	Oxalyl-CoA decarboxylase	0.0	1.0 oxalcoa_c + 1.0 h_c -> 1.0 co2_c + 1.0 forcoa_c	(SCO6584 or SCO6201 or SCO7412 or SCO6155 or SCO5512)	Alternate Carbon Metabolism
OXDHCOAT	3-oxo-5,6-dehydrosuberyl-CoA thiolase	0.0	1.0 3oxdhscoa_c + 1.0 coa_c -> 1.0 23dhacoa_c + 1.0 accoa_c	((SCO5144 and SCO6701 and SCO5399 and SCO3079 and SCO6731 and SCO4502 and SCO6967 and SCO6027 and SCO6788 and SCO1324) or SCO6701 or SCO5399 or SCO3079 or SCO6731 or SCO4502 or SCO6967 or SCO6027 or SCO6788 or SCO1324 or SCO6701 or SCO5399 or SCO3079 or SCO6731 or SCO6967 or SCO6027 or SCO6788 or SCO1324)	Alternate Carbon Metabolism
PACCOAE	ring 1,2-phenylacetyl-CoA epoxidase (NADPH)	0.0	1.0 phaccoa_c + 1.0 o2_c + 1.0 nadph_c + 1.0 h_c -> 1.0 rephaccoa_c + 1.0 h2o_c + 1.0 nadp_c	((SCO7471 and SCO7472 and SCO7473 and SCO7474 and SCO7475))	Alternate Carbon Metabolism
PACCOAL	phenylacetate-CoA ligase	0.0	1.0 pac_c + 1.0 coa_c + 1.0 atp_c -> 1.0 phaccoa_c + 1.0 ppi_c + 1.0 amp_c	(SCO7469)	Alternate Carbon Metabolism
PACCOATE	phenylacetyl-CoA thioesterase	0.0	1.0 phaccoa_c + 1.0 h2o_c -> 1.0 pac_c + 1.0 coa_c + 1.0 h_c	(SCO7470)	Alternate Carbon Metabolism
PFK_2	Phosphofructokinase	0.0	1.0 tag6p_DASH_D_c + 1.0 atp_c -> 1.0 tagdp_DASH_D_c + 1.0 h_c + 1.0 adp_c	(SCO5426 or SCO2119 or SCO1214 or SCO5426 or SCO2119 or SCO1214)	Alternate Carbon Metabolism
PGMT	phosphoglucomutase	-1000.0	1.0 g1p_c <=> 1.0 g6p_c	(SCO7443)	Alternate Carbon Metabolism
PMANM	phosphomannomutase	-1000.0	1.0 man1p_c <=> 1.0 man6p_c	(SCO3028 or SCO3039 or SCO1388)	Alternate Carbon Metabolism
