M444_09920	phosphoglycerate kinase	['2.7.2.3']
M444_03770	glycerol kinase	['2.7.1.30']
M444_17800	DNA polymerase III subunit beta	['2.7.7.7']
M444_09880	transaldolase	['2.2.1.2']
M444_21825	aminotransferase	['2.6.1.2']
M444_13795	cysteine synthase	['2.5.1.47']
M444_20315	NADH dehydrogenase	['1.6.99.5']
M444_11670	3-ketoacyl-ACP reductase	['1.1.1.100']
M444_22295	succinate dehydrogenase	['1.3.5.1']
M444_10375	glutamate synthase	['1.4.1.13']
M444_28625	urease subunit alpha	['3.5.1.5']
M444_14445	imidazolonepropionase	['3.5.2.7']
M444_10275	acetyl-CoA acetyltransferase	['2.3.1.9']
M444_09265	inorganic polyphosphate kinase	['2.7.1.23']
M444_20305	NADH dehydrogenase	['1.6.99.5']
M444_12865	ribose 5-phosphate isomerase	['5.3.1.6']
M444_07500	inosine-5-monophosphate dehydrogenase	['1.1.1.205']
M444_07355	phosphoribosyl-ATP pyrophosphatase	['3.6.1.31']
M444_17605	cystathionine gamma-lyase	['4.4.1.1']
M444_10495	phosphoribosyl isomerase	['5.3.1.16', '5.3.1.24']
M444_14775	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	['2.7.1.148']
M444_10855	6-phosphofructokinase	['2.7.1.11']
M444_19835	dihydroxy-acid dehydratase	['4.2.1.9']
M444_12355	UDP pyrophosphate synthase	['2.5.1.31']
M444_26405	aconitate hydratase	['4.2.1.3']
M444_12290	pyruvate phosphate dikinase	['2.7.9.1']
M444_30080	glucose-6-phosphate dehydrogenase	['1.1.1.49']
M444_20330	NADH dehydrogenase	['1.6.99.5']
M444_18400	salicylate hydroxylase	['1.14.13.1']
M444_07745	carbamoyl phosphate synthase large subunit	['6.3.5.5']
M444_19330	nucleoside diphosphate kinase	['2.7.4.6']
M444_21240	phosphoribosylaminoimidazolecarboxamide formyltransferase	['2.1.2.3', '3.5.4.10']
M444_29530	succinate dehydrogenase	['1.3.5.1']
M444_15930	citrate synthase 2	['2.3.3.1']
M444_14460	urocanate hydratase	['4.2.1.49']
M444_23825	6-phosphofructokinase	['2.7.1.11']
M444_08640	glycerol kinase	['2.7.1.30']
M444_13760	ribonuclease PH	['2.7.7.56']
M444_10485	imidazole glycerol phosphate synthase	['4.1.3.-']
M444_16965	amidophosphoribosyltransferase	['2.4.2.14']
M444_08905	homogentisate 1,2-dioxygenase	['1.13.11.5']
M444_26940	precorrin-8X methylmutase	['5.4.99.61']
M444_27115	glyoxylate carboligase	['4.1.1.47']
M444_12045	3-oxoacyl-ACP synthase	['2.3.1.179']
M444_23550	ATP F0F1 synthase subunit beta	['3.6.3.14']
M444_24280	ketol-acid reductoisomerase	['1.1.1.86']
M444_22135	aspartate ammonia-lyase	['4.3.1.1']
M444_21030	inosine-5-monophosphate dehydrogenase	['1.1.1.205']
