AA958_05340	cobalamin biosynthesis protein CobN	['6.6.1.2']
AA958_33750	methylmalonyl-CoA mutase	['5.4.99.2']
AA958_18235	pantothenate kinase	['2.7.1.33']
AA958_33290	isocitrate dehydrogenase	['1.1.1.42']
AA958_08190	3-oxoacyl-ACP synthase	['2.3.1.179']
AA958_31375	glycerol kinase	['2.7.1.30']
AA958_09180	glycyl-tRNA ligase	['6.1.1.14']
AA958_13550	polyphosphate kinase	['2.7.4.1']
AA958_06360	imidazole glycerol phosphate synthase	['4.1.3.-']
AA958_07690	keto-deoxy-phosphogluconate aldolase	['4.1.2.14', '4.1.3.16']
AA958_10980	bifunctional uroporphyrinogen-III synthetase/response regulator domain protein	['4.2.1.75']
AA958_32060	acetyl-CoA acetyltransferase	['2.3.1.9']
AA958_27755	aconitate hydratase	['4.2.1.3']
AA958_17750	adenylosuccinate synthetase	['6.3.4.4']
AA958_12970	formyltetrahydrofolate deformylase	['3.5.1.10']
AA958_04570	amidase	['3.5.1.4']
AA958_05305	diaminobutyrate--2-oxoglutarate aminotransferase	['2.6.1.76']
AA958_18450	amidophosphoribosyltransferase	['2.4.2.14']
AA958_06540	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase	['6.3.2.9']
AA958_10710	ribonuclease PH	['2.7.7.56']
AA958_06235	succinate dehydrogenase	['1.3.5.1']
AA958_03590	argininosuccinate synthase	['6.3.4.5']
AA958_06370	phosphoribosyl isomerase	['5.3.1.16', '5.3.1.24']
AA958_25615	3-isopropylmalate dehydrogenase	['1.1.1.85']
AA958_33365	phosphoribosyl-ATP pyrophosphatase	['3.6.1.31']
AA958_09205	UDP pyrophosphate synthase	['2.5.1.31']
AA958_32405	ATP-dependent DNA ligase	['6.5.1.1']
AA958_01635	glycerol kinase	['2.7.1.30']
AA958_21730	phosphoribosylaminoimidazolecarboxamide formyltransferase	['2.1.2.3', '3.5.4.10']
AA958_03110	carbamoyl phosphate synthase large subunit	['6.3.5.5']
AA958_01525	glycine dehydrogenase	['1.4.4.2']
AA958_32565	4-hydroxybenzoate 3-monooxygenase	['1.14.13.2']
AA958_00310	urease subunit gamma	['3.5.1.5']
AA958_00320	urease subunit alpha	['3.5.1.5']
AA958_03075	S-adenosylmethionine synthetase	['2.5.1.6']
AA958_21515	inosine-5-monophosphate dehydrogenase	['1.1.1.205']
AA958_27695	ornithine carbamoyltransferase	['2.1.3.3']
AA958_23235	N-succinyldiaminopimelate aminotransferase	['2.6.1.17']
AA958_29240	4-hydroxybenzoate 3-monooxygenase	['1.14.13.2']
AA958_22655	aspartate ammonia-lyase	['4.3.1.1']
AA958_32390	enoyl-CoA hydratase	['4.2.1.17']
AA958_03180	3-dehydroquinate dehydratase	['4.2.1.10']
AA958_28355	glyoxylate carboligase	['4.1.1.47']
AA958_25110	6-phosphofructokinase	['2.7.1.11']
AA958_33355	3,4-dihydroxy-2-butanone 4-phosphate synthase	['4.1.99.12']
AA958_10735	cysteine synthase	['2.5.1.47']
AA958_01785	2-dehydropantoate 2-reductase	['1.1.1.169']
AA958_22360	threonine dehydratase	['4.3.1.19']
AA958_09710	ribose 5-phosphate isomerase	['5.3.1.6']
AA958_04975	inorganic polyphosphate kinase	['2.7.1.23']
AA958_14210	DNA polymerase III subunit delta'	['2.7.7.7']
AA958_20580	NADH dehydrogenase	['1.6.99.5']
AA958_22430	aminotransferase	['2.6.1.2']
AA958_06155	tryptophan synthase subunit beta	['4.2.1.20']
AA958_09650	Clp protease	['3.4.21.92']
AA958_21755	malate dehydrogenase	['1.1.1.37']
AA958_25375	serine hydroxymethyltransferase	['2.1.2.1']
AA958_23935	alpha-ketoglutarate decarboxylase	['4.1.1.71']
AA958_15905	cystathionine gamma-lyase	['4.4.1.1']
AA958_03370	threonine--tRNA ligase	['6.1.1.3']
AA958_04075	glycerol kinase	['2.7.1.30']
AA958_21610	GMP synthase	['6.3.5.2']
AA958_12100	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	['2.7.1.148']
AA958_27680	arginine deiminase	['3.5.3.6']
AA958_20605	NADH dehydrogenase	['1.6.99.5']
AA958_05690	phosphoglycerate kinase	['2.7.2.3']
AA958_09035	pyruvate phosphate dikinase	['2.7.9.1']
AA958_23250	succinyl-diaminopimelate desuccinylase	['3.5.1.18']
AA958_25765	glycerol-3-phosphate dehydrogenase	['1.1.1.94']
AA958_20590	NADH dehydrogenase	['1.6.99.5']
AA958_06120	glutamate synthase	['1.4.1.13']
AA958_25565	ketol-acid reductoisomerase	['1.1.1.86']
AA958_24995	acetyl-CoA acetyltransferase	['2.3.1.9']
AA958_33315	inosine-5-monophosphate dehydrogenase	['1.1.1.205']
AA958_11550	urocanate hydratase	['4.2.1.49']
AA958_20295	RNA polymerase factor sigma-70	['2.7.7.6']
AA958_21370	pantothenate kinase	['2.7.1.33']
